individualid,originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,locationtext,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1sex,interactor1temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2sex,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,figuretable,citation,doi,curratedbycitation,curratedbydoi,submittedby,contributoremail,notes,published,embargorelease
,HSD001,relative activity,mean percent relative activity,,,64.67,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,30,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector,TRUE,28/12/2020
,HSD001,relative activity,mean percent relative activity,,,100,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,35,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector,TRUE,28/12/2020
,HSD001,relative activity,mean percent relative activity,,,98.26,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,40,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector,TRUE,28/12/2020
,HSD001,relative activity,mean percent relative activity,,,75.21,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,45,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector,TRUE,28/12/2020
,HSD001,relative activity,mean percent relative activity,,,45.95,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Seoul South Korea,colony,,,0,decimal,38,127,Bacillus subtilis,,part,Homoserine dehydrogenase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,50,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3d,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12,10.4014/jmb.2004.04060,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector,TRUE,28/12/2020
,GTP001,relative activity,mean percent relative activity,,,46.44,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,10,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,68.85,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,20,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,76.56,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,30,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,100.16,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,40,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,96.48,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,50,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,90.43,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,60,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,39.33,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,70,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,GTP001,relative activity,mean percent relative activity,,,11.46,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Nanjing China,field (soil),,,0,decimal,32,119,Bacillus subtilis,,part,Gamma-glutamyltranspeptidase enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,80,Celsius,,32,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4,10.1016/j.molcatb.2006.06.021.,,,Natalia Glazman,glazmann@yahoo.co.uk,B. subtilis strain NX-2 used which overproduces gamma-glutamyltranspeptidase,TRUE,26/09/2006
,MGT001,relative activity,mean percent relative activity,,,57.79,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Tianjin China,colony,,,0,decimal,39,117,Bacillus subtilis,,part,glycosyltransferase Bs-YjiC enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,20,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3b,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248",10.1016/j.jbiotec.2017.03.009,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector. B. subtilis 168 strain used. UDP-glucose was the substrate,TRUE,20/04/2017
,MGT001,relative activity,mean percent relative activity,,,78.44,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Tianjin China,colony,,,0,decimal,39,117,Bacillus subtilis,,part,glycosyltransferase Bs-YjiC enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,25,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3b,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248",10.1016/j.jbiotec.2017.03.009,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector. B. subtilis 168 strain used. UDP-glucose was the substrate,TRUE,21/04/2017
,MGT001,relative activity,mean percent relative activity,,,87.91,percent,,,,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,Tianjin China,colony,,,0,decimal,39,117,Bacillus subtilis,,part,glycosyltransferase Bs-YjiC enzyme,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,,,30,Celsius,,37,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3b,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248",10.1016/j.jbiotec.2017.03.009,,,Natalia Glazman,glazmann@yahoo.co.uk,Growth temperature applies to E. coli expression vector. B. subtilis 168 strain used. UDP-glucose was the substrate,TRUE,22/04/2017
